t,x,y,z
1782661511.091,0.00146,-0.00907,-0.00592
1782661511.124,0.00146,-0.00907,-0.00592
1782661511.191,0.00146,-0.00907,-0.00592
1782661511.224,0.00146,-0.00907,-0.00592
1782661511.257,0.00146,-0.00907,-0.00592
1782661511.291,0.00146,-0.00907,-0.00592
1782661511.324,0.00146,-0.00907,-0.00592
1782661511.357,0.00146,-0.00907,-0.00592
1782661511.391,0.00146,-0.00907,-0.00592
1782661511.424,0.00146,-0.00907,-0.00592
1782661511.457,0.00146,-0.00907,-0.00592
1782661511.491,0.00146,-0.00907,-0.00592
1782661511.524,0.00146,-0.00907,-0.00592
1782661511.557,0.00146,-0.00907,-0.00592
1782661511.591,0.00146,-0.00907,-0.00592
1782661511.624,0.00146,-0.00907,-0.00592
1782661511.658,0.00146,-0.00907,-0.00592
1782661511.758,0.00146,-0.00907,-0.00592
1782661511.791,0.00146,-0.00907,-0.00592
1782661511.824,0.00146,-0.00907,-0.00592
1782661511.858,0.00146,-0.00907,-0.00592
1782661511.891,0.00146,-0.00907,-0.00592
1782661511.924,0.00146,-0.00907,-0.00592
1782661511.991,0.00146,-0.00907,-0.00592
1782661512.024,0.00146,-0.00907,-0.00592
1782661512.058,0.00146,-0.00907,-0.00592
1782661512.091,0.00146,-0.00907,-0.00592
1782661512.124,0.00146,-0.00907,-0.00592
1782661512.158,0.00146,-0.00907,-0.00592
1782661512.191,0.00146,-0.00907,-0.00592
1782661512.291,0.00146,-0.00907,-0.00592
1782661512.324,0.00146,-0.00907,-0.00592
1782661512.391,0.00146,-0.00907,-0.00592
1782661512.458,0.00146,-0.00907,-0.00592
1782661512.491,-0.00411,-0.00524,-0.00217
1782661512.525,-0.00411,-0.00524,-0.00217
1782661512.558,-0.00411,-0.00524,-0.00217
1782661512.591,-0.00411,-0.00524,-0.00217
1782661512.658,-0.00411,-0.00524,-0.00217
1782661512.691,-0.00411,-0.00524,-0.00217
1782661512.725,-0.00411,-0.00524,-0.00217
1782661512.758,-0.00411,-0.00524,-0.00217
1782661512.791,-0.00411,-0.00524,-0.00217
